"INFESTATION_AREA_KEY"	"CREATE_USER_NAME"	"CREATE_TS"	"MZONES_MANAGEMENT_ZONE_KEY"	"INFESTATION_AREA_ID"	"IS_CURRENT_IND"	"LATITUDE_NBR"	"LONGITUDE_NBR"	"INFARA_INFESTATION_AREA_KEY"	"CMC4_COORDINATE_METHOD_ID"	"OIC_OBJECT_OF_INTEREST_ID"	"DC4_DATUM_ID"	"VSC1_VERIFICATION_STATUS_ID"	"COLLECTOR_NAME"	"COLLECTION_DATE"	"VERIFIER_NAME"	"VERIFICATION_DATE"	"MODIFY_USER_NAME"	"MODIFY_TS"
64	"NRTS"	18-MAY-10	1082	"SN-B10-001"	"Y"	27.868681	-80.456677		"UNKN"	"PIEP"	"NAD83"	"REVIEWED"	"NRTS"	18-MAY-10	"NRTS"	18-MAY-10	""	
65	"NRTS"	18-MAY-10	473	"FCV-01-001"	"Y"	30.807903	-85.213286		"UNKN"	"PIEP"	"NAD83"	"REVIEWED"	"NRTS"	18-MAY-10	"NRTS"	18-MAY-10	"MULVEY_G"	02-OCT-17
66	"NRTS"	18-MAY-10	3997	"LJ-10A-001"	"Y"				"UNKN"	"PIEP"	"NAD83"	"REVIEWED"	"NRTS"	18-MAY-10	"NRTS"	18-MAY-10	""	
67	"NRTS"	18-MAY-10	3989	"LJ-05B-001"	"Y"				"UNKN"	"PIEP"	"NAD83"	"REVIEWED"	"NRTS"	18-MAY-10	"NRTS"	18-MAY-10	""	
68	"NRTS"	18-MAY-10	1082	"SN-B10-002"	"Y"	27.5	-80.2		"UNKN"	"PIEP"	"NAD83"	"REVIEWED"	"NRTS"	18-MAY-10	"NRTS"	18-MAY-10	""	
69	"NRTS"	18-MAY-10	3616	"HH-H035-001"	"Y"				"UNKN"	"PIEP"	"NAD83"	"REVIEWED"	"NRTS"	18-MAY-10	"NRTS"	18-MAY-10	"MULVEY_G"	11-DEC-17
70	"NRTS"	18-MAY-10	1084	"SN-B12-001"	"Y"	27.873812	-80.45692		"UNKN"	"PIEP"	"NAD83"	"REVIEWED"	"NRTS"	18-MAY-10	"NRTS"	18-MAY-10	""	
71	"NRTS"	18-MAY-10	1085	"SN-B13-001"	"Y"	27.876629	-80.462479		"UNKN"	"PIEP"	"NAD83"	"REVIEWED"	"NRTS"	18-MAY-10	"NRTS"	18-MAY-10	""	
72	"NRTS"	18-MAY-10	3965	"LAM-1D-001"	"N"				"UNKN"	"PIEP"	"NAD83"	"REVIEWED"	"NRTS"	18-MAY-10	"NRTS"	18-MAY-10	""	
73	"NRTS"	18-MAY-10	1086	"SN-B14-001"	"Y"	27.877196	-80.468262		"UNKN"	"PIEP"	"NAD83"	"REVIEWED"	"NRTS"	18-MAY-10	"NRTS"	18-MAY-10	""	
74	"NRTS"	18-MAY-10	1087	"SN-B15-001"	"Y"	27.879347	-80.464875		"UNKN"	"PIEP"	"NAD83"	"REVIEWED"	"NRTS"	18-MAY-10	"NRTS"	18-MAY-10	""	
75	"NRTS"	18-MAY-10	474	"FCV-02-001"	"Y"	30.810097	-85.214712		"UNKN"	"PIEP"	"NAD83"	"REVIEWED"	"NRTS"	18-MAY-10	"NRTS"	18-MAY-10	""	
76	"NRTS"	18-MAY-10	1088	"SN-B16-001"	"Y"	27.883192	-80.463146		"UNKN"	"PIEP"	"NAD83"	"REVIEWED"	"NRTS"	18-MAY-10	"NRTS"	18-MAY-10	""	
77	"NRTS"	18-MAY-10	3624	"HH-H042-001"	"Y"				"UNKN"	"PIEP"	"NAD83"	"REVIEWED"	"NRTS"	18-MAY-10	"NRTS"	18-MAY-10	""	
78	"NRTS"	18-MAY-10	1079	"SN-B07-001"	"Y"	27.86189	-80.456848		"UNKN"	"PIEP"	"NAD83"	"REVIEWED"	"NRTS"	18-MAY-10	"NRTS"	18-MAY-10	""	
79	"NRTS"	18-MAY-10	3014	"CP-CC01-001"	"Y"	26.757227	-82.04073		"UNKN"	"PIEP"	"NAD83"	"REVIEWED"	"NRTS"	18-MAY-10	"NRTS"	18-MAY-10	""	
80	"NRTS"	18-MAY-10	1077	"SN-B05-001"	"Y"	27.858773	-80.459301		"UNKN"	"PIEP"	"NAD83"	"REVIEWED"	"NRTS"	18-MAY-10	"NRTS"	18-MAY-10	""	
81	"NRTS"	18-MAY-10	3627	"HH-H045-001"	"Y"				"UNKN"	"PIEP"	"NAD83"	"REVIEWED"	"NRTS"	18-MAY-10	"NRTS"	18-MAY-10	""	
82	"NRTS"	18-MAY-10	3966	"LAM-1E-001"	"N"				"UNKN"	"PIEP"	"NAD83"	"REVIEWED"	"NRTS"	18-MAY-10	"NRTS"	18-MAY-10	"MULVEY_G"	01-NOV-19
83	"NRTS"	18-MAY-10	1074	"SN-B02-001"	"Y"	27.860889	-80.452759		"UNKN"	"PIEP"	"NAD83"	"REVIEWED"	"NRTS"	18-MAY-10	"NRTS"	18-MAY-10	"walker_g"	29-MAR-13
84	"NRTS"	18-MAY-10	475	"FCV-03-001"	"Y"	30.811159	-85.213884		"UNKN"	"PIEP"	"NAD83"	"REVIEWED"	"NRTS"	18-MAY-10	"NRTS"	18-MAY-10	""	
85	"garner_p"	18-MAY-10	3015	"CP-CC02A-000"	"Y"				"UNKN"	"PIEP"	"NAD83"	"REVIEWED"	"garner_p"	18-MAY-10	"garner_p"	18-MAY-10	""	
86	"garner_p"	18-MAY-10	3016	"CP-CC02B-000"	"Y"				"UNKN"	"PIEP"	"NAD83"	"REVIEWED"	"garner_p"	18-MAY-10	"garner_p"	18-MAY-10	""	
87	"NRTS"	18-MAY-10	1074	"SN-B02-002"	"Y"				"UNKN"	"PIEP"	"NAD83"	"REVIEWED"	"NRTS"	18-MAY-10	"NRTS"	18-MAY-10	"walker_g"	29-MAR-13
88	"garner_p"	18-MAY-10	3017	"CP-CC03-000"	"Y"				"UNKN"	"PIEP"	"NAD83"	"REVIEWED"	"garner_p"	18-MAY-10	"garner_p"	18-MAY-10	""	
