"MANAGEMENT_ZONE_KEY"	"CREATE_USER_NAME"	"CREATE_TS"	"BEGIN_DATE"	"NPARK_NRTS_PARK_KEY"	"ZONE_ID"	"ACREAGE_NBR"	"FIRE_TYPE_ACRES_NBR"	"MANAGEMENT_TYPE"	"BURN_ZONE_IND"	"MIN_FIRE_RETURN_NBR"	"MAX_FIRE_RETURN_NBR"	"GROUPING_TEXT"	"MODIFY_USER_NAME"	"MODIFY_TS"	"END_DATE"	"NOTES_TEXT"
125	"NRTS"	08-MAY-10	16-MAY-04	41	"JD-A08"	111.93	73.35	"N"	"Y"	8	15	""	"DRP_Staff"	07-APR-22		""
126	"NRTS"	08-MAY-10	16-MAY-04	41	"JD-A10"	42.8	40.28	"N"	"Y"	8	15	""	"DRP_Staff"	07-APR-22		""
127	"NRTS"	08-MAY-10	16-MAY-04	41	"JD-A11"	36.14	24.94	"N"	"Y"	8	15	""	"DRP_Staff"	07-APR-22		""
128	"NRTS"	08-MAY-10	16-MAY-04	41	"JD-D10"	5	5	"N"	"Y"	2	7	""	"DRP_Staff"	07-APR-22		""
129	"NRTS"	08-MAY-10	16-MAY-04	41	"JD-F08"	6.02	6.02	"N"	"Y"	2	8	""	"DRP_Staff"	07-APR-22		""
130	"NRTS"	08-MAY-10	16-MAY-04	41	"SP-28"	0	0	"N"	"N"	0	0	""	"DRP_Staff"	05-AUG-15	05-AUG-15	""
131	"NRTS"	08-MAY-10	16-MAY-04	41	"SP-29"	0	0	"N"	"N"	0	0	""	"DRP_Staff"	05-AUG-15	05-AUG-15	""
132	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-30"	0	0	"N"	"N"	0	0	""	"DRP_Staff"	05-AUG-15	05-AUG-15	""
133	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-31"	0	0	"N"	"N"	0	0	""	"DRP_Staff"	05-AUG-15	05-AUG-15	""
134	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-32"	0	0	"N"	"N"	0	0	""	"DRP_Staff"	05-AUG-15	05-AUG-15	""
135	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-33"	0	0	"N"	"N"	0	0	""	"DRP_Staff"	05-AUG-15	05-AUG-15	""
136	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-E01"	70.35	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
137	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-E02"	29.328	0	"N"	"N"	0	0	""	"DRP_Staff"	10-JUL-20	10-JUL-20	""
138	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-E03"	52.45	15.76	"N"	"Y"	4	15	""	"DRP_Staff"	07-APR-22		""
139	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-E05"	57.36	45.06	"N"	"Y"	3	14	""	"DRP_Staff"	07-APR-22		""
140	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-E06"	48.8	20.49	"N"	"Y"	8	15	""	"DRP_Staff"	07-APR-22		""
141	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-E07"	14.29	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
142	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-E08"	35.07	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
143	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-E09"	38.08	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
144	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-E10"	24.6	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
145	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-E11"	56.11	9.56	"N"	"Y"	3	14	""	"DRP_Staff"	07-APR-22		""
146	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-E12"	99.86	0	"N"	"Y"	1	4	""	"DRP_Staff"	07-APR-22		""
147	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-I01"	71.87	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
148	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-I02"	88.9	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
149	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-I03"	161.21	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
150	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-I04"	14.66	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
151	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-W01"	50.85	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
152	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-W02"	18.75	6.79	"N"	"Y"	1	4	""	"DRP_Staff"	07-APR-22		""
153	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-W03"	61.45	12.03	"N"	"Y"	3	14	""	"DRP_Staff"	07-APR-22		""
154	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-W04"	100.8	11.97	"N"	"Y"	1	4	""	"DRP_Staff"	07-APR-22		""
155	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-W05"	63.26	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
156	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-W06"	108.8	18.41	"N"	"Y"	3	14	""	"DRP_Staff"	07-APR-22		""
157	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-W07"	16.57	6.07	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
158	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-W08"	11.76	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
159	"NRTS"	08-MAY-10	16-MAY-04	102	"SP-W09"	18.42	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
160	"NRTS"	08-MAY-10	16-MAY-04	4	"AK-02"	62.51	0	"N"	"Y"	2	5	""	"DRP_Staff"	07-APR-22		""
161	"NRTS"	08-MAY-10	16-MAY-04	4	"AK-03"	50.45	0	"N"	"Y"	2	5	""	"DRP_Staff"	07-APR-22		""
162	"NRTS"	08-MAY-10	16-MAY-04	4	"AK-03RBn"	44.23	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
163	"NRTS"	08-MAY-10	16-MAY-04	4	"AK-03RBs"	125.86	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
164	"NRTS"	08-MAY-10	16-MAY-04	4	"AK-03RBw"	2718.53	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
165	"NRTS"	08-MAY-10	16-MAY-04	4	"AK-04"	58.21	0	"N"	"Y"	2	5	""	"DRP_Staff"	07-APR-22		""
166	"NRTS"	08-MAY-10	16-MAY-04	4	"AK-05"	31.88	0	"N"	"Y"	2	5	""	"DRP_Staff"	07-APR-22		""
167	"NRTS"	08-MAY-10	16-MAY-04	4	"AK-06"	51.01	0.75	"N"	"Y"	2	4	""	"DRP_Staff"	07-APR-22		""
168	"NRTS"	08-MAY-10	16-MAY-04	4	"AK-07"	133.52	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
169	"NRTS"	08-MAY-10	16-MAY-04	4	"AK-08"	8688.39	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
170	"NRTS"	08-MAY-10	16-MAY-04	4	"AK-NB"	20.66	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
171	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-03"	10.01	1.48	"N"	"Y"	2	8	""	"DRP_Staff"	07-APR-22		""
172	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-04D"	106.19	26.69	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
173	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-06"	35.4	0	"N"	"Y"	2	4	""	"DRP_Staff"	07-APR-22		""
174	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-07"	39.51	19.45	"N"	"Y"	2	4	""	"DRP_Staff"	07-APR-22		""
175	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-08"	33.62	12.47	"N"	"Y"	2	4	""	"DRP_Staff"	07-APR-22		""
176	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-12"	241.88	0	"N"	"Y"	1	3	""	"DRP_Staff"	07-APR-22		""
177	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-13"	207.44	0	"N"	"Y"	1	3	""	"DRP_Staff"	07-APR-22		""
178	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-14"	416.41	32.51	"N"	"Y"	2	4	""	"DRP_Staff"	07-APR-22		""
179	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-15"	529.19	30.67	"N"	"Y"	1	3	""	"DRP_Staff"	07-APR-22		""
180	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-16"	327.9	19.92	"N"	"Y"	5	12	""	"DRP_Staff"	07-APR-22		""
181	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-17"	315.17	0	"N"	"Y"	2	4	""	"DRP_Staff"	07-APR-22		""
182	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-18"	328.54	17.69	"N"	"Y"	2	4	""	"DRP_Staff"	07-APR-22		""
183	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-19A"	553.9	48.48	"N"	"Y"	1	3	""	"DRP_Staff"	07-APR-22		""
184	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-19B"	210.69	65.08	"N"	"Y"	1	3	""	"DRP_Staff"	07-APR-22		""
185	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-19C"	243.55	5.16	"N"	"Y"	1	3	""	"DRP_Staff"	07-APR-22		""
186	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-20A"	687.04	0	"N"	"Y"	1	3	""	"DRP_Staff"	07-APR-22		""
187	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-20B"	106.12	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
188	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-20C"	149.33	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
189	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-21"	73.46	51.36	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
190	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-22A"	120.56	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
191	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-22B"	141.34	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
192	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-23"	37.17	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
193	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-24A"	90.63	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
194	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-24B"	101.58	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
195	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-25"	108	0.85	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
196	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-26"	43.29	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
197	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-27"	144.88	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
198	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-28"	118.25	0	"N"	"Y"	1	3	""	"DRP_Staff"	07-APR-22		""
199	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-29"	80.63	22.31	"N"	"Y"	2	4	""	"DRP_Staff"	07-APR-22		""
200	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-30"	75.11	14.61	"N"	"Y"	2	4	""	"DRP_Staff"	07-APR-22		""
201	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-31A"	73.07	23.5	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
202	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-31B"	80.76	6.88	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
203	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-32"	84.88	0	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
204	"NRTS"	08-MAY-10	16-MAY-04	142	"AR-33A"	211.05	1.73	"N"	"N"	0	0	""	"DRP_Staff"	07-APR-22		""
