"NRTS_PARK_KEY"	"ABBREVIATION_TEXT"	"BURN_PARK_IND"	"OGT_IND"	"NRTS_END_DATE"	"PARK_COMMON_NAME"	"PARK_NAME"	"PDCD_PARK_DISTRICT_ID"	"NRTS_DISTRICT_OFFICE_KEY"	"DISTRICT_NAME"	"REGION_NAME"	"INACTIVATED_DATE"
156	"USM"	"Y"	"N"		""	"St. Marks River Preserve State Park"	1	2	"District 1"	"Northwest Region"	
180	"D1"	"N"	"N"	19-FEB-11	""	"DISTRICT 1 OFFICE"	1	2	"District 1"	"Northwest Region"	19-FEB-11
146	"BP"	"Y"	"N"		""	"Bald Point State Park"	1	2	"District 1"	"Northwest Region"	
101	"BG"	"Y"	"N"		""	"Big Lagoon State Park"	1	2	"District 1"	"Northwest Region"	
164	"BST"	"N"	"Y"		""	"Blackwater Heritage State Trail"	1	2	"District 1"	"Northwest Region"	
7	"BR"	"Y"	"N"		""	"Blackwater River State Park"	1	2	"District 1"	"Northwest Region"	
138	"CH"	"Y"	"N"		""	"Camp Helen State Park"	1	2	"District 1"	"Northwest Region"	
13	"CCM"	"N"	"N"		""	"Constitution Convention Museum State Park"	1	2	"District 1"	"Northwest Region"	
139	"DL"	"Y"	"N"		""	"Deer Lake State Park"	1	2	"District 1"	"Northwest Region"	
58	"SG"	"Y"	"N"		""	"Dr. Julian G. Bruce St. George Island State Park"	1	2	"District 1"	"Northwest Region"	
128	"ER"	"Y"	"N"		""	"Econfina River State Park"	1	2	"District 1"	"Northwest Region"	
19	"EG"	"Y"	"N"		""	"Eden Gardens State Park"	1	2	"District 1"	"Northwest Region"	
121	"WK"	"Y"	"N"		""	"Edward Ball Wakulla Springs State Park"	1	2	"District 1"	"Northwest Region"	
20	"FW"	"Y"	"N"		""	"Falling Waters State Park"	1	2	"District 1"	"Northwest Region"	
24	"FCV"	"Y"	"N"		""	"Florida Caverns State Park"	1	2	"District 1"	"Northwest Region"	
56	"RB"	"Y"	"N"		""	"Fred Gannon Rocky Bayou State Park"	1	2	"District 1"	"Northwest Region"	
32	"GB"	"Y"	"N"		""	"Grayton Beach State Park"	1	2	"District 1"	"Northwest Region"	
111	"HB"	"Y"	"N"		""	"Henderson Beach State Park"	1	2	"District 1"	"Northwest Region"	
40	"GM"	"N"	"N"		""	"John Gorrie Museum State Park"	1	2	"District 1"	"Northwest Region"	
44	"LJM"	"N"	"N"		""	"Lake Jackson Mounds Archaeological State Park"	1	2	"District 1"	"Northwest Region"	
78	"LQ"	"Y"	"N"		""	"Lake Talquin State Park"	1	2	"District 1"	"Northwest Region"	
140	"LE"	"Y"	"N"		""	"Letchworth-Love Mounds Archaeological State Park"	1	2	"District 1"	"Northwest Region"	
51	"NB"	"Y"	"N"		""	"Natural Bridge Battlefield Historic State Park"	1	2	"District 1"	"Northwest Region"	
52	"OR"	"Y"	"N"		""	"Ochlockonee River State Park"	1	2	"District 1"	"Northwest Region"	
103	"PK"	"Y"	"N"		""	"Perdido Key State Park"	1	2	"District 1"	"Northwest Region"	
79	"PL"	"Y"	"N"		""	"Ponce de Leon Springs State Park"	1	2	"District 1"	"Northwest Region"	
61	"SM"	"N"	"N"		""	"San Marcos de Apalache Historic State Park"	1	2	"District 1"	"Northwest Region"	
57	"SA"	"Y"	"N"		""	"St. Andrews State Park"	1	2	"District 1"	"Northwest Region"	
59	"SJ"	"Y"	"N"		""	"T.H. Stone Memorial St. Joseph Peninsula State Park"	1	2	"District 1"	"Northwest Region"	
171	"TSM"	"N"	"Y"		""	"Tallahassee-St. Marks Historic Railroad State Trail"	1	2	"District 1"	"Northwest Region"	
161	"TB"	"Y"	"N"		""	"Tarkiln Bayou Preserve State Park"	1	2	"District 1"	"Northwest Region"	
