"SPECIES_KEY"	"CREATE_USER_NAME"	"CREATE_TS"	"BEGIN_DATE"	"SCIENTIFIC_NAME"	"COMMON_NAME"	"FLEPC_FLEPPC_CATEGORY_KEY"	"TSN_NBR"	"NOTES_TEXT"	"MODIFY_USER_NAME"	"MODIFY_TS"	"END_DATE"
91	"Admin"	15-FEB-10	15-FEB-10	"Ipomoea quamoclit"	"Cypressvine"	3		""	"NRTS"	04-AUG-15	
92	"Admin"	15-FEB-10	15-FEB-10	"Cestrum diurnum"	"Day jessamine"	2		""	"NRTS"	04-AUG-15	
93	"Admin"	15-FEB-10	15-FEB-10	"Alstonia macrophylla"	"Deviltree"	2		""	"NRTS"	04-AUG-15	
94	"Admin"	15-FEB-10	15-FEB-10	"Kalanchoe daigremontiana"	"Devil's backbone"	3		""	"NRTS"	04-AUG-15	
95	"Admin"	15-FEB-10	15-FEB-10	"Landoltia punctata "	"Spotted duckweed"	2		""	"NRTS"	04-AUG-15	
96	"Admin"	15-FEB-10	15-FEB-10	"Rhodomyrtus tomentosa"	"Downy rose-myrtle"	1		""	"NRTS"	04-AUG-15	
97	"Admin"	15-FEB-10	15-FEB-10	"Dactyloctenium aegyptium"	"Durban crowfootgrass"	2		""	"NRTS"	04-AUG-15	
98	"Admin"	15-FEB-10	15-FEB-10	"Musa acuminata"	"Dwarf banana"	3		""	"NRTS"	04-AUG-15	
99	"Admin"	15-FEB-10	15-FEB-10	"Cyperus prolifer"	"Dwarf papyrus"	2		""	"NRTS"	04-AUG-15	
100	"Admin"	15-FEB-10	15-FEB-10	"Caesalpinia pulcherrima"	"Dwarf poinciana"	3		""	"NRTS"	04-AUG-15	
101	"Admin"	15-FEB-10	15-FEB-10	"Acacia auriculiformis"	"Earleaf acacia"	1		""	"NRTS"	04-AUG-15	
102	"Admin"	15-FEB-10	15-FEB-10	"Enterolobium contortisiliquum"	"Earpod tree"	3		""	"NRTS"	04-AUG-15	
103	"Admin"	15-FEB-10	15-FEB-10	"Lilium longiflorum"	"Easter lilly"	3		""	"NRTS"	04-AUG-15	
104	"Admin"	15-FEB-10	15-FEB-10	"Xanthosoma sagittifolium"	"Elephant ear"	2		""	"NRTS"	04-AUG-15	
105	"Admin"	15-FEB-10	15-FEB-10	"Hedera helix"	"English ivy"	3		""	"NRTS"	04-AUG-15	
106	"Admin"	15-FEB-10	15-FEB-10	"Eucalyptus sp."	"Eucalyptus"	3		""	"NRTS"	04-AUG-15	
107	"Admin"	15-FEB-10	15-FEB-10	"Myriophyllum spicatum"	"Eurasian water-milfoil"	2		""	"NRTS"	04-AUG-15	
108	"Admin"	15-FEB-10	15-FEB-10	"Ficus altissima"	"False banyan"	2		""	"NRTS"	04-AUG-15	
109	"Admin"	15-FEB-10	15-FEB-10	"Spermacoce verticillata "	"Shrubby false buttonweed"	3		""	"NRTS"	04-AUG-15	
110	"Admin"	15-FEB-10	15-FEB-10	"Pyracantha spp."	"Firethorn"	3		""	"NRTS"	04-AUG-15	
111	"Admin"	15-FEB-10	15-FEB-10	"Caryota mitis"	"Fishtail palm"	3		""	"NRTS"	04-AUG-15	
112	"Admin"	15-FEB-10	15-FEB-10	"Nephrolepis falcata"	"Fishtail swordfern"	3		""	"NRTS"	04-AUG-15	
113	"Admin"	15-FEB-10	15-FEB-10	"Koelreuteria elegans"	"Flamegold tree"	2		""	"NRTS"	04-AUG-15	
114	"Admin"	15-FEB-10	15-FEB-10	"Roystonea regia "	"Florida royal palm"	3		""	"NRTS"	04-AUG-15	
115	"Admin"	15-FEB-10	15-FEB-10	"Emilia fosbergii"	"Florida tasselflower"	3		""	"NRTS"	04-AUG-15	
116	"Admin"	15-FEB-10	15-FEB-10	"Mirabilis jalapa"	"Four-o'clock"	3		""	"NRTS"	04-AUG-15	
117	"Admin"	15-FEB-10	15-FEB-10	"Asystasia gangetica"	"Ganges primrose"	2		""	"NRTS"	04-AUG-15	
118	"Admin"	15-FEB-10	15-FEB-10	"Hibiscus rosa-sinensis"	"Garden rosemallow"	3		""	"NRTS"	04-AUG-15	
119	"Admin"	15-FEB-10	15-FEB-10	"Arundo donax"	"Giant reed"	3		""	"NRTS"	04-AUG-15	
120	"Admin"	15-FEB-10	15-FEB-10	"Hedychium sp."	"Gingerlily"	3		""	"NRTS"	04-AUG-15	
121	"Admin"	15-FEB-10	15-FEB-10	"Gladiolus sp."	"Gladiola"	3		""	"NRTS"	04-AUG-15	
122	"Admin"	15-FEB-10	15-FEB-10	"Clerodendrum sp."	"Glorybower"	3		""	"NRTS"	04-AUG-15	
